newvar,year,input_var
adl_q1_any_ind,1992,ER30770
adl_q1_any_ind,1993,ER30828
adl_q1_any_ind,1994,ER33129
adl_q1_any_ind,1995,ER33285
adl_q1_any_ind,1996,ER33327
adl_q1_any_rp,1999,ER15525
adl_q1_any_rp,2001,ER19690
adl_q1_any_rp,2003,ER23092
adl_q1_any_rp,2005,ER27059
adl_q1_any_rp,2007,ER38270
adl_q1_any_rp,2009,ER44243
adl_q1_any_rp,2011,ER49581
adl_q1_any_rp,2013,ER55329
adl_q1_any_rp,2015,ER62451
adl_q1_any_rp,2017,ER68516
adl_q1_any_rp,2019,ER74524
adl_q1_any_rp,2021,ER80672
adl_q1_any_rp,2023,ER84644
adl_q1_any_sp,1999,ER15633
adl_q1_any_sp,2001,ER19798
adl_q1_any_sp,2003,ER23219
adl_q1_any_sp,2005,ER27182
adl_q1_any_sp,2007,ER39367
adl_q1_any_sp,2009,ER45340
adl_q1_any_sp,2011,ER50699
adl_q1_any_sp,2013,ER56445
adl_q1_any_sp,2015,ER63567
adl_q1_any_sp,2017,ER69643
adl_q1_any_sp,2019,ER75651
adl_q1_any_sp,2021,ER80870
adl_q1_any_sp,2023,ER84845
adl_q1_hlp_rp,1999,ER15526
adl_q1_hlp_rp,2001,ER19691
adl_q1_hlp_rp,2003,ER23093
adl_q1_hlp_rp,2005,ER27060
adl_q1_hlp_rp,2007,ER38271
adl_q1_hlp_rp,2009,ER44244
adl_q1_hlp_rp,2011,ER49582
adl_q1_hlp_rp,2013,ER55330
adl_q1_hlp_rp,2015,ER62452
adl_q1_hlp_rp,2017,ER68517
adl_q1_hlp_rp,2019,ER74525
adl_q1_hlp_rp,2021,ER80673
adl_q1_hlp_rp,2023,ER84645
adl_q1_hlp_sp,1999,ER15634
adl_q1_hlp_sp,2001,ER19799
adl_q1_hlp_sp,2003,ER23220
adl_q1_hlp_sp,2005,ER27183
adl_q1_hlp_sp,2007,ER39368
adl_q1_hlp_sp,2009,ER45341
adl_q1_hlp_sp,2011,ER50700
adl_q1_hlp_sp,2013,ER56446
adl_q1_hlp_sp,2015,ER63568
adl_q1_hlp_sp,2017,ER69644
adl_q1_hlp_sp,2019,ER75652
adl_q1_hlp_sp,2021,ER80871
adl_q1_hlp_sp,2023,ER84846
adl_q2_any_ind,1992,ER30771
adl_q2_any_ind,1993,ER30829
adl_q2_any_ind,1994,ER33130
adl_q2_any_ind,1995,ER33286
adl_q2_any_ind,1996,ER33328
adl_q2_any_rp,1999,ER15527
adl_q2_any_rp,2001,ER19692
adl_q2_any_rp,2003,ER23094
adl_q2_any_rp,2005,ER27062
adl_q2_any_rp,2007,ER38273
adl_q2_any_rp,2009,ER44246
adl_q2_any_rp,2011,ER49584
adl_q2_any_rp,2013,ER55332
adl_q2_any_rp,2015,ER62454
adl_q2_any_rp,2017,ER68519
adl_q2_any_rp,2019,ER74527
adl_q2_any_rp,2021,ER80675
adl_q2_any_rp,2023,ER84647
adl_q2_any_sp,1999,ER15635
adl_q2_any_sp,2001,ER19800
