domain,token,order
survey_identifiers,id,1
survey_identifiers,lineage,2
survey_identifiers,pnum,3
survey_identifiers,fuid_19*,4
survey_identifiers,fuid_20*,5
survey_identifiers,hhdid_19*,6
survey_identifiers,hhdid_20*,7
survey_identifiers,respondent_19*,8
survey_identifiers,respondent_20*,9
survey_identifiers,respondent_ext_19*,10
survey_identifiers,respondent_ext_20*,11
survey_identifiers,rindiv_19*,12
survey_identifiers,rindiv_20*,13
survey_identifiers,rel_19*,14
survey_identifiers,rel_20*,15
survey_identifiers,rel_ext_19*,16
survey_identifiers,rel_ext_20*,17
survey_identifiers,refcouple_19*,18
survey_identifiers,refcouple_20*,19
survey_identifiers,sample,20
survey_identifiers,sampstat,21
survey_identifiers,sampstat_ext,22
panel_status,seqnum_19*,1
panel_status,seqnum_20*,2
panel_status,response_19*,3
panel_status,response_20*,4
panel_status,response_ext_19*,5
panel_status,response_ext_20*,6
panel_status,panel_current_19*,7
panel_status,panel_current_20*,8
panel_status,panel_inst_19*,9
panel_status,panel_inst_20*,10
panel_status,panel_move_19*,11
panel_status,panel_move_20*,12
panel_status,panel_drop_stat,13
panel_status,panel_drop_rein_19*,14
panel_status,panel_drop_rein_20*,15
panel_status,panel_rein_elig_19*,16
panel_status,panel_rein_elig_20*,17
sample_design,fw_19*,1
sample_design,fw_20*,2
sample_design,fw_cross_19*,3
sample_design,fw_cross_20*,4
sample_design,fw_latin_main_19*,5
sample_design,fw_latin_only_19*,6
sample_design,iw_19*,7
sample_design,iw_20*,8
sample_design,iw_cross_19*,9
sample_design,iw_cross_20*,10
sample_design,iw_latin_main_19*,11
sample_design,iw_latin_only_19*,12
sample_design,stratum,13
sample_design,cluster,14
demographics,demo_sex,1
demographics,demo_birth_year,2
demographics,demo_birth_month,3
demographics,demo_death_rep,4
demographics,demo_death_year,5
demographics,demo_age_gen_19*,6
demographics,demo_age_gen_20*,7
demographics,demo_age_rep_19*,8
demographics,demo_age_rep_20*,9
education,edu_year_19*,1
education,edu_year_20*,2
education,edu_year_rp_19*,3
education,edu_year_rp_20*,4
education,edu_year_sp_19*,5
education,edu_year_sp_20*,6
education,edu_year_max,7
education,edu_year_max_rp_19*,8
education,edu_year_max_rp_20*,9
education,edu_year_max_sp_19*,10
education,edu_year_max_sp_20*,11
education,edu_level_19*,12
education,edu_level_20*,13
education,edu_level_rp_19*,14
education,edu_level_rp_20*,15
education,edu_level_sp_19*,16
education,edu_level_sp_20*,17
education,edu_level_max,18
education,edu_level_max_rp_19*,19
education,edu_level_max_rp_20*,20
education,edu_level_max_sp_19*,21
education,edu_level_max_sp_20*,22
education,edu_grde_19*,23
education,edu_hsch_19*,24
education,edu_hsch_20*,25
education,edu_coll_att_19*,26
education,edu_coll_att_20*,27
education,edu_coll_deg_19*,28
education,edu_coll_deg_20*,29
education,edu_coll_gra_19*,30
education,edu_coll_gra_20*,31
education,edu_coll_num_19*,32
education,edu_coll_num_20*,33
education,edu_icol_att_19*,34
education,edu_icol_att_20*,35
education,edu_icol_deg_19*,36
education,edu_icol_deg_20*,37
family_type,fam_size_19*,1
family_type,fam_size_20*,2
family_type,fam_size_chi_19*,3
family_type,fam_size_chi_20*,4
family_type,fam_partnered_19*,5
family_type,fam_partnered_20*,6
family_type,fam_parstat_19*,7
family_type,fam_parstat_20*,8
family_type,fam_partype_19*,9
family_type,fam_partype_20*,10
family_type,fam_married_19*,11
family_type,fam_married_20*,12
family_type,fam_marstat_19*,13
family_type,fam_marstat_20*,14
geography,geo_region_19*,1
geography,geo_region_20*,2
