label_set,value,label
ccondiagany_gen_2cat,0,"No, never had condition (confirmed by physician or health professional)"
ccondiagany_gen_2cat,1,"Yes, ever had condition (confirmed by physician or health professional)"
ccondiagany_hatt_2cat,0,"No, never had heart attack (confirmed by physician or health professional)"
ccondiagany_hatt_2cat,1,"Yes, ever had heart attack (confirmed by physician or health professional)"
ccondiag2nd_hatt_2cat,0,"No, never had 2nd heart attack (confirmed by physician or health professional)"
ccondiag2nd_hatt_2cat,1,"Yes, ever had 2nd heart attack (confirmed by physician or health professional)"
ccondiagany_stro_2cat,0,"No, never had stroke (confirmed by physician or health professional)"
ccondiagany_stro_2cat,1,"Yes, ever had stroke (confirmed by physician or health professional)"
ccondiag2nd_stro_2cat,0,"No, never had 2nd stroke (confirmed by physician or health professional)"
ccondiag2nd_stro_2cat,1,"Yes, ever had 2nd stroke (confirmed by physician or health professional)"
ccondiagage_gen_2005_2015_1cat,1,1 or under
ccondiagage_gen_2017_2099_1cat,0,Less than 1 year old
ccondegr_gen_4cat,0,Not at all
ccondegr_gen_4cat,1,Just a little
ccondegr_gen_4cat,2,Somewhat
ccondegr_gen_4cat,3,A lot
cconcare_arth_2cat,0,"No, not currently taking medication or receiving treatment for arthritis or rheumatism"
cconcare_arth_2cat,1,"Yes, currently taking medication or receiving treatment for arthritis or rheumatism"
cconcare_asth_2cat,0,"No, not currently taking or carrying medication/inhaler to treat or control asthma"
cconcare_asth_2cat,1,"Yes, currently taking or carrying medication/inhaler to treat or control asthma"
cconstat_canc_4cat,0,Currently doing nothing (incl. can't afford insurance to get treatment)
cconstat_canc_4cat,1,Currently receiving treatment
cconstat_canc_4cat,2,Remission
cconstat_canc_4cat,3,Cured
cconcare_diab_2cat,0,"No, not currently taking medication or using insulin shots/pump to treat or control diabetes"
cconcare_diab_2cat,1,"Yes, currently taking medication or using insulin shots/pump to treat or control diabetes"
cconcare_emop_2cat,0,"No, not currently taking tranquilizers, antidepressants, or pills for nerves?"
cconcare_emop_2cat,1,"Yes, currently taking tranquilizers, antidepressants, or pills for nerves?"
cconcare_hatt_2cat,0,"No, not currently taking or carrying medication because of heart attack"
cconcare_hatt_2cat,1,"Yes, currently taking or carrying medication because of heart attack"
cconcare_hdis_2cat,0,"No, not currently taking or carrying medication because of coronary heart disease, angina or congestive heart failure"
cconcare_hdis_2cat,1,"Yes, currently taking or carrying medication because of coronary heart disease, angina or congestive heart failure"
cconcare_hibp_2cat,0,"No, not currently taking medication to lower blood pressure"
cconcare_hibp_2cat,1,"Yes, currently taking medication to lower blood pressure"
cconcare_ldis_2cat,0,"No, not currently taking medication or receiving treatment to help with learning disorder"
cconcare_ldis_2cat,1,"Yes, currently taking medication or receiving treatment to help with learning disorder"
cconcare_lmem_2cat,0,"No, not currently taking medication prescribed by physician to help with memory problem"
cconcare_lmem_2cat,1,"Yes, currently taking medication prescribed by physician to help with memory problem"
cconcare_lung_2cat,0,"No, not currently taking medication or receiving oxygen/other treatment for lung condition"
cconcare_lung_2cat,1,"Yes, currently taking medication or receiving oxygen/other treatment for lung condition"
cconcare_stro_2cat,0,"No, not currently taking medication because of stroke or its complications"
cconcare_stro_2cat,1,"Yes, currently taking medication because of stroke or its complications"
cconcare_ocon_2cat,0,"No, not currently taking medication for condition"
