newvar,label_set
ccon_arth_care_rp,cconcare_arth_2cat
ccon_arth_care_sp,cconcare_arth_2cat
ccon_arth_degr_rp,ccondegr_gen_4cat
ccon_arth_degr_sp,ccondegr_gen_4cat
ccon_arth_diag_age_rp,ccondiagage_gen_2005_2015_1cat
ccon_arth_diag_age_rp,ccondiagage_gen_2017_2099_1cat
ccon_arth_diag_age_sp,ccondiagage_gen_2005_2015_1cat
ccon_arth_diag_age_sp,ccondiagage_gen_2017_2099_1cat
ccon_arth_diag_any_rp,ccondiagany_gen_2cat
ccon_arth_diag_any_sp,ccondiagany_gen_2cat
ccon_asth_care_rp,cconcare_asth_2cat
ccon_asth_care_sp,cconcare_asth_2cat
ccon_asth_degr_rp,ccondegr_gen_4cat
ccon_asth_degr_sp,ccondegr_gen_4cat
ccon_asth_diag_age_rp,ccondiagage_gen_2005_2015_1cat
ccon_asth_diag_age_rp,ccondiagage_gen_2017_2099_1cat
ccon_asth_diag_age_sp,ccondiagage_gen_2005_2015_1cat
ccon_asth_diag_age_sp,ccondiagage_gen_2017_2099_1cat
ccon_asth_diag_any_rp,ccondiagany_gen_2cat
ccon_asth_diag_any_sp,ccondiagany_gen_2cat
ccon_canc_degr_rp,ccondegr_gen_4cat
ccon_canc_degr_sp,ccondegr_gen_4cat
ccon_canc_diag_age_rp,ccondiagage_gen_2005_2015_1cat
ccon_canc_diag_age_rp,ccondiagage_gen_2017_2099_1cat
ccon_canc_diag_age_sp,ccondiagage_gen_2005_2015_1cat
ccon_canc_diag_age_sp,ccondiagage_gen_2017_2099_1cat
ccon_canc_diag_any_rp,ccondiagany_gen_2cat
ccon_canc_diag_any_sp,ccondiagany_gen_2cat
ccon_canc_stat_rp,cconstat_cans_2cat
ccon_canc_stat_sp,cconstat_cans_2cat
ccon_canc_type_1m_rp,ccontype_canc_12cat
ccon_canc_type_1m_sp,ccontype_canc_12cat
ccon_canc_type_2m_rp,ccontype_canc_12cat
ccon_canc_type_2m_sp,ccontype_canc_12cat
ccon_diab_care_rp,cconcare_diab_2cat
ccon_diab_care_sp,cconcare_diab_2cat
ccon_diab_degr_rp,ccondegr_gen_4cat
ccon_diab_degr_sp,ccondegr_gen_4cat
ccon_diab_diag_age_rp,ccondiagage_gen_2005_2015_1cat
ccon_diab_diag_age_rp,ccondiagage_gen_2017_2099_1cat
ccon_diab_diag_age_sp,ccondiagage_gen_2005_2015_1cat
ccon_diab_diag_age_sp,ccondiagage_gen_2017_2099_1cat
ccon_diab_diag_any_rp,ccondiagany_gen_2cat
ccon_diab_diag_any_sp,ccondiagany_gen_2cat
ccon_emop_care_rp,cconcare_emop_2cat
ccon_emop_care_sp,cconcare_emop_2cat
ccon_emop_degr_rp,ccondegr_gen_4cat
ccon_emop_degr_sp,ccondegr_gen_4cat
ccon_emop_diag_age_rp,ccondiagage_gen_2005_2015_1cat
ccon_emop_diag_age_rp,ccondiagage_gen_2017_2099_1cat
ccon_emop_diag_age_sp,ccondiagage_gen_2005_2015_1cat
ccon_emop_diag_age_sp,ccondiagage_gen_2017_2099_1cat
ccon_emop_diag_any_rp,ccondiagany_gen_2cat
ccon_emop_diag_any_sp,ccondiagany_gen_2cat
ccon_emop_type_1m_rp,ccontype_emop_13cat
ccon_emop_type_1m_sp,ccontype_emop_13cat
ccon_emop_type_2m_rp,ccontype_emop_13cat
ccon_emop_type_2m_sp,ccontype_emop_13cat
ccon_emop_type_3m_rp,ccontype_emop_13cat
ccon_emop_type_3m_sp,ccontype_emop_13cat
ccon_hatt_care_rp,cconcare_hatt_2cat
ccon_hatt_care_sp,cconcare_hatt_2cat
ccon_hatt_degr_rp,ccondegr_gen_4cat
ccon_hatt_degr_sp,ccondegr_gen_4cat
ccon_hatt_diag_2nd_rp,ccondiag2nd_hatt_2cat
ccon_hatt_diag_2nd_sp,ccondiag2nd_hatt_2cat
ccon_hatt_diag_age_rp,ccondiagage_gen_2005_2015_1cat
ccon_hatt_diag_age_rp,ccondiagage_gen_2017_2099_1cat
ccon_hatt_diag_age_sp,ccondiagage_gen_2005_2015_1cat
ccon_hatt_diag_age_sp,ccondiagage_gen_2017_2099_1cat
ccon_hatt_diag_any_rp,ccondiagany_hatt_2cat
ccon_hatt_diag_any_sp,ccondiagany_hatt_2cat
ccon_hdis_care_rp,cconcare_hdis_2cat
ccon_hdis_care_sp,cconcare_hdis_2cat
ccon_hdis_degr_rp,ccondegr_gen_4cat
ccon_hdis_degr_sp,ccondegr_gen_4cat
ccon_hdis_diag_age_rp,ccondiagage_gen_2005_2015_1cat
ccon_hdis_diag_age_rp,ccondiagage_gen_2017_2099_1cat
ccon_hdis_diag_age_sp,ccondiagage_gen_2005_2015_1cat
ccon_hdis_diag_age_sp,ccondiagage_gen_2017_2099_1cat
ccon_hdis_diag_any_rp,ccondiagany_gen_2cat
ccon_hdis_diag_any_sp,ccondiagany_gen_2cat
ccon_hibp_care_rp,cconcare_hibp_2cat
ccon_hibp_care_sp,cconcare_hibp_2cat
ccon_hibp_degr_rp,ccondegr_gen_4cat
ccon_hibp_degr_sp,ccondegr_gen_4cat
ccon_hibp_diag_age_rp,ccondiagage_gen_2005_2015_1cat
ccon_hibp_diag_age_rp,ccondiagage_gen_2017_2099_1cat
ccon_hibp_diag_age_sp,ccondiagage_gen_2005_2015_1cat
ccon_hibp_diag_age_sp,ccondiagage_gen_2017_2099_1cat
ccon_hibp_diag_any_rp,ccondiagany_gen_2cat
ccon_hibp_diag_any_sp,ccondiagany_gen_2cat
ccon_ldis_care_rp,cconcare_ldis_2cat
ccon_ldis_care_sp,cconcare_ldis_2cat
ccon_ldis_degr_rp,ccondegr_gen_4cat
ccon_ldis_degr_sp,ccondegr_gen_4cat
ccon_ldis_diag_age_rp,ccondiagage_gen_2005_2015_1cat
ccon_ldis_diag_age_rp,ccondiagage_gen_2017_2099_1cat
ccon_ldis_diag_age_sp,ccondiagage_gen_2005_2015_1cat
ccon_ldis_diag_age_sp,ccondiagage_gen_2017_2099_1cat
ccon_ldis_diag_any_rp,ccondiagany_gen_2cat
ccon_ldis_diag_any_sp,ccondiagany_gen_2cat
ccon_lmem_care_rp,cconcare_lmem_2cat
ccon_lmem_care_sp,cconcare_lmem_2cat
ccon_lmem_degr_rp,ccondegr_gen_4cat
ccon_lmem_degr_sp,ccondegr_gen_4cat
ccon_lmem_diag_age_rp,ccondiagage_gen_2005_2015_1cat
ccon_lmem_diag_age_rp,ccondiagage_gen_2017_2099_1cat
ccon_lmem_diag_age_sp,ccondiagage_gen_2005_2015_1cat
ccon_lmem_diag_age_sp,ccondiagage_gen_2017_2099_1cat
ccon_lmem_diag_any_rp,ccondiagany_gen_2cat
ccon_lmem_diag_any_sp,ccondiagany_gen_2cat
ccon_lung_care_rp,cconcare_lung_2cat
ccon_lung_care_sp,cconcare_lung_2cat
ccon_lung_degr_rp,ccondegr_gen_4cat
ccon_lung_degr_sp,ccondegr_gen_4cat
ccon_lung_diag_age_rp,ccondiagage_gen_2005_2015_1cat
ccon_lung_diag_age_rp,ccondiagage_gen_2017_2099_1cat
ccon_lung_diag_age_sp,ccondiagage_gen_2005_2015_1cat
ccon_lung_diag_age_sp,ccondiagage_gen_2017_2099_1cat
ccon_lung_diag_any_rp,ccondiagany_gen_2cat
ccon_lung_diag_any_sp,ccondiagany_gen_2cat
ccon_ocon_care_rp,cconcare_ocon_2cat
ccon_ocon_care_sp,cconcare_ocon_2cat
ccon_ocon_degr_rp,ccondegr_gen_4cat
ccon_ocon_degr_sp,ccondegr_gen_4cat
ccon_ocon_diag_age_rp,ccondiagage_gen_2005_2015_1cat
ccon_ocon_diag_age_rp,ccondiagage_gen_2017_2099_1cat
ccon_ocon_diag_age_sp,ccondiagage_gen_2005_2015_1cat
ccon_ocon_diag_age_sp,ccondiagage_gen_2017_2099_1cat
ccon_ocon_diag_any_rp,ccondiagany_gen_2cat
ccon_ocon_diag_any_sp,ccondiagany_gen_2cat
ccon_ocon_type_rp,ccontype_ocon_18cat
ccon_ocon_type_sp,ccontype_ocon_18cat
ccon_stro_care_rp,cconcare_stro_2cat
ccon_stro_care_sp,cconcare_stro_2cat
ccon_stro_degr_rp,ccondegr_gen_4cat
ccon_stro_degr_sp,ccondegr_gen_4cat
ccon_stro_diag_2nd_rp,ccondiag2nd_stro_2cat
ccon_stro_diag_2nd_sp,ccondiag2nd_stro_2cat
ccon_stro_diag_age_rp,ccondiagage_gen_2005_2015_1cat
ccon_stro_diag_age_rp,ccondiagage_gen_2017_2099_1cat
ccon_stro_diag_age_sp,ccondiagage_gen_2005_2015_1cat
ccon_stro_diag_age_sp,ccondiagage_gen_2017_2099_1cat
ccon_stro_diag_any_rp,ccondiagany_stro_2cat
ccon_stro_diag_any_sp,ccondiagany_stro_2cat
df_covid_rep_ind,covid_rep_2cat
df_covid_rep_rp,covid_rep_2cat
df_covid_rep_sp,covid_rep_2cat
covid_posi_ind,covid_posi_any_2cat
covid_vacc_ind,covid_vacc_2cat
covid_vacc_rp,covid_vacc_2cat
covid_vacc_sp,covid_vacc_2cat
covid_test_rp,covid_test_2cat
covid_test_sp,covid_test_2cat
covid_medi_talk_any_rp,covid_medi_talk_any_2cat
covid_medi_talk_any_sp,covid_medi_talk_any_2cat
covid_medi_talk_opi_rp,covid_medi_talk_opi_5cat
covid_medi_talk_opi_sp,covid_medi_talk_opi_5cat
covid_medi_diag_mo_rp,covid_month_16cat
covid_medi_diag_mo_sp,covid_month_16cat
covid_medi_nodi_sym_rp,covid_symp_2cat
covid_medi_nodi_sym_sp,covid_medi_nodi_sym_2cat
covid_medi_nodi_mo_rp,covid_month_16cat
covid_medi_nodi_mo_sp,covid_month_16cat
covid_check_test_rp,covid_check_test_3cat
covid_check_test_sp,covid_check_test_3cat
covid_test_rece_mo_rp,covid_month_16cat
covid_test_rece_mo_sp,covid_month_16cat
covid_test_rece_typ_rp,covid_test_rece_typ_2cat
covid_test_rece_typ_sp,covid_test_rece_typ_2cat
covid_test_rece_res_rp,covid_test_rece_res_3cat
covid_test_rece_res_sp,covid_test_rece_res_3cat
covid_test_ling_any_rp,covid_test_ling_any_2cat
covid_test_ling_any_sp,covid_test_ling_any_2cat
covid_test_ling_typ_rp,covid_test_ling_typ_3cat
covid_test_ling_typ_sp,covid_test_ling_typ_3cat
covid_test_ling_sev_rp,covid_sev_4cat
covid_test_ling_sev_sp,covid_sev_4cat
covid_check_diag_rp,covid_check_diag_3cat
covid_check_diag_sp,covid_check_diag_3cat
covid_diag_hosp_any_rp,covid_hosp_any_2cat
covid_diag_hosp_any_sp,covid_hosp_any_2cat
covid_diag_hosp_oxy_rp,covid_treat_oxy_2cat
covid_diag_hosp_oxy_sp,covid_treat_oxy_2cat
covid_diag_hosp_icu_rp,covid_treat_icu_2cat
covid_diag_hosp_icu_sp,covid_treat_icu_2cat
covid_diag_hosp_ven_rp,covid_treat_ven_2cat
covid_diag_hosp_ven_sp,covid_treat_ven_2cat
covid_diag_hosp_oth_rp,covid_treat_oth_2cat
covid_diag_hosp_oth_sp,covid_treat_oth_2cat
covid_diag_noho_sym_rp,covid_symp_2cat
covid_diag_noho_sym_sp,covid_symp_2cat
covid_diag_noho_sev_rp,covid_sev_4cat
covid_diag_noho_sev_sp,covid_sev_4cat
dmnt_elig_ind,dmntelig_2cat
dmnt_elig_rp,dmntelig_2cat
dmnt_elig_sp,dmntelig_2cat
dmnt_q1_any_ind,dmntprob_2cat
dmnt_q1_any_rp,dmntprob_2cat
dmnt_q1_any_sp,dmntprob_2cat
dmnt_q2_any_ind,dmntprob_2cat
dmnt_q2_any_rp,dmntprob_2cat
dmnt_q2_any_sp,dmntprob_2cat
dmnt_q3_any_ind,dmntprob_2cat
dmnt_q3_any_rp,dmntprob_2cat
dmnt_q3_any_sp,dmntprob_2cat
dmnt_q4_any_ind,dmntprob_2cat
dmnt_q4_any_rp,dmntprob_2cat
dmnt_q4_any_sp,dmntprob_2cat
dmnt_q5_any_ind,dmntprob_2cat
dmnt_q5_any_rp,dmntprob_2cat
dmnt_q5_any_sp,dmntprob_2cat
dmnt_q6_any_ind,dmntprob_2cat
dmnt_q6_any_rp,dmntprob_2cat
dmnt_q6_any_sp,dmntprob_2cat
dmnt_q7_any_ind,dmntprob_2cat
dmnt_q7_any_rp,dmntprob_2cat
dmnt_q7_any_sp,dmntprob_2cat
dmnt_q8_any_ind,dmntprob_2cat
dmnt_q8_any_rp,dmntprob_2cat
dmnt_q8_any_sp,dmntprob_2cat
dmnt_score_cut_ind,dmntcutoff_2cat
demo_sex,sex_2cat
demo_age_rep,agerep_1cat
demo_age_gen_psid,agegenpsid_2cat
demo_birth_month_sy,month_12cat
demo_death_year_psid,deathyearpsid_2cat
dep_chng_less_resp,depchange_3cat
dep_chng_more_resp,depdegmore_3cat
dep_chng_resp,depdegless_3cat
dep_degr_resp,depinterfere_4cat
dep_q1_freq_resp,depfreq_5cat
dep_q2_freq_resp,depfreq_5cat
dep_q3_freq_resp,depfreq_5cat
dep_q4_freq_resp,depfreq_5cat
dep_q5_freq_resp,depfreq_5cat
dep_q6_freq_resp,depfreq_5cat
adl_q1_any_ind,adlprob_2cat
adl_q1_any_rp,adlprob_2cat
adl_q1_any_sp,adlprob_2cat
adl_q1_hlp_rp,adlhelp_2cat
adl_q1_hlp_sp,adlhelp_2cat
adl_q2_any_ind,adlprob_2cat
adl_q2_any_rp,adlprob_2cat
adl_q2_any_sp,adlprob_2cat
adl_q2_hlp_rp,adlhelp_2cat
adl_q2_hlp_sp,adlhelp_2cat
adl_q3_any_ind,adlprob_2cat
adl_q3_any_rp,adlprob_2cat
adl_q3_any_sp,adlprob_2cat
adl_q3_hlp_rp,adlhelp_2cat
adl_q3_hlp_sp,adlhelp_2cat
adl_q4_any_ind,adlprob_2cat
adl_q4_any_rp,adlprob_2cat
adl_q4_any_sp,adlprob_2cat
adl_q4_hlp_rp,adlhelp_2cat
adl_q4_hlp_sp,adlhelp_2cat
adl_q5_any_ind,adlprob_2cat
adl_q5_any_rp,adlprob_2cat
adl_q5_any_sp,adlprob_2cat
adl_q5_hlp_rp,adlhelp_2cat
adl_q5_hlp_sp,adlhelp_2cat
adl_q6_any_ind,adlprob_2cat
adl_q6_any_rp,adlprob_2cat
adl_q6_any_sp,adlprob_2cat
adl_q6_hlp_rp,adlhelp_2cat
adl_q6_hlp_sp,adlhelp_2cat
adl_q7_any_ind,adlprob_2cat
adl_q7_any_rp,adlprob_2cat
adl_q7_any_sp,adlprob_2cat
adl_q7_hlp_rp,adlhelp_2cat
adl_q7_hlp_sp,adlhelp_2cat
adl_sum_any_ind,discutoff_2cat
adl_sum_hlp_ind,disanyhelp_2cat
iadl_q1_any_ind,iadlprob_3cat
iadl_q1_any_rp,iadlprob_3cat
iadl_q1_any_sp,iadlprob_3cat
iadl_q1_hea_ind,iadlnahealth_3cat
iadl_q1_hea_rp,iadlnahealth_3cat
iadl_q1_hea_sp,iadlnahealth_3cat
iadl_q2_any_ind,iadlprob_3cat
iadl_q2_any_rp,iadlprob_3cat
iadl_q2_any_sp,iadlprob_3cat
iadl_q2_hea_ind,iadlnahealth_3cat
iadl_q2_hea_rp,iadlnahealth_3cat
iadl_q2_hea_sp,iadlnahealth_3cat
iadl_q3_any_ind,iadlprob_3cat
iadl_q3_any_rp,iadlprob_3cat
iadl_q3_any_sp,iadlprob_3cat
iadl_q3_hea_ind,iadlnahealth_3cat
iadl_q3_hea_rp,iadlnahealth_3cat
iadl_q3_hea_sp,iadlnahealth_3cat
iadl_q4_any_ind,iadlprob_3cat
